id,title,fabric,condition,price,city,blouse,tagLine,whatsapp,images
1,Korvai Pattern Golded Zari Weaving Silk Sarees,Silk,Like New,5499,Kanchipuram,Unstitched,Traditional temple border,919884191310,kc01.jpeg|kc01a.jpeg|kc01b.jpeg|kc01c.jpeg
2,Korvai Pattern Golded Zari Weaving  Silk Sarees,Silk,Like New,3999,Kanchipuram,Stitched 36,Light bridal wear,919884191310,kc02.jpeg|kc02a.jpeg|kc02b.jpeg|kc02c.jpeg
3,PETHANI SILK PURE ZARI WIWING AND MINAKARI BODER HEAVY MINA ZARI WEAVING PALLU,Silk,Like New,999,Kanchipuram,No blouse,Office & temple wear,919884191310,kc03.jpeg|kc03a.jpeg|kc03b.jpeg|kc03c.jpeg
4,Linen Floral Printed Saree,Linen,Like New,1400,Kanchipuram,Running blouse,Daily wear,919884191310,dola_silk2712.jpg|dola_silk2712a.jpg|dola_silk2712b.jpg|dola_silk2712c.jpg
5,Soft Dola Silk Saree with Jacquard Border,Silk,Like New,900,Kanchipuram,Stitched 38,Party special,919884191310,dola_silk2712.jpg|dola_silk2712a.jpg|dola_silk2712b.jpg|dola_silk2712c.jpg
